Stamar Tanjung Priok;;;;;;;;;
;;;;;;;;;
;Temperature Max C (Daily);Temperature Mean C (Daily);Temperature Min C (Daily);Evaporation Total mm (Daily);Dew Point Mean C (Daily);Relative Humidity Mean % (Daily);Wind Speed Mean ms (Daily);Wind Speed Max ms (Daily);Sunshine Hours (Daily)
02/06/2022 00:00;32.2;27.8;25.6;2.8;24.5;82.3;1.2;4.1;6.6
03/06/2022 00:00;31.9;29.3;26.2;3;25;77.9;1.6;4.1;6.3
04/06/2022 00:00;31.9;29.7;27;4.7;25.4;77.6;1.3;3.1;6.8
05/06/2022 00:00;32.3;29;26.6;3.9;24.7;77.7;1.3;4.6;8.1
06/06/2022 00:00;30.4;27.8;26;5.6;24;79.6;1.8;3.6;6.9
07/06/2022 00:00;31.8;29.1;26.2;3.3;25.1;78.9;2.6;5.7;0
08/06/2022 00:00;29.8;27.6;25.6;3.5;24.8;84.4;1.3;5.1;6.7
09/06/2022 00:00;30;26.5;25;9999;24;86.6;.6;3.6;9999
10/06/2022 00:00;33.8;29.3;25.2;.7;24.6;76.1;2;4.6;1.4
11/06/2022 00:00;32;28.9;26.4;4.9;25.2;80.4;1.5;6.7;8.9
12/06/2022 00:00;31.3;28.6;26.2;3.4;24.5;78.8;1.4;3.1;5.7
13/06/2022 00:00;31.2;28.3;26.2;2.2;24.2;78.1;1.3;2.6;5.5
14/06/2022 00:00;30.9;28.5;26.7;2.7;24.4;78.4;1.5;5.1;2.3
15/06/2022 00:00;30;27.2;25.4;3.6;24.9;87.1;.9;4.6;1.1
16/06/2022 00:00;29.2;27.5;25.4;2.1;24.9;85.8;1;3.6;0
17/06/2022 00:00;28.4;27;25;1.4;24.7;87.1;1.3;3.1;1.1
18/06/2022 00:00;29.9;27.5;25;1.5;24.4;83.3;.5;3.6;.4
19/06/2022 00:00;31.7;29;25.6;2;25;78.7;2;5.1;2.5
20/06/2022 00:00;31.9;29;26.8;5.4;24.6;77.1;1;4.6;7.2
21/06/2022 00:00;32.2;29.3;26.2;2.5;25;77.9;2;5.1;8.8
22/06/2022 00:00;32.8;29.2;26.4;4.7;25.1;78.7;2.2;5.1;9
23/06/2022 00:00;33.6;29.7;26.8;5.7;24.7;74.3;2;5.7;6.1
24/06/2022 00:00;31;28.3;26.8;2.4;24.6;80.5;1.4;5.7;3.7
25/06/2022 00:00;31.1;28.4;26.7;1.8;24.6;79.7;1.1;4.6;1.9
26/06/2022 00:00;29.9;28.1;26.7;4.5;25.1;83.4;1.1;3.1;3.2
27/06/2022 00:00;31.6;28.6;26.4;1.8;24.8;80.2;1.1;3.1;.8
28/06/2022 00:00;31.6;29;26.4;5.7;24.4;76.1;1.9;3.6;4.7
29/06/2022 00:00;32;28.9;26;3.3;24.1;75.1;1.6;5.7;7.9
30/06/2022 00:00;31.4;28.9;25.8;9999;23.8;74.1;2;4.1;9999
01/07/2022 00:00;32.3;29.2;26;7.5;23.9;73.3;1.8;3.1;8.1
02/07/2022 00:00;32.1;29.6;26.7;2.3;25.2;77.3;1.8;3.6;7.8
03/07/2022 00:00;32.2;28.9;25.8;4.5;25.5;81.6;2.3;5.1;5.3
04/07/2022 00:00;33;30;27.2;7.7;25.5;77.1;3;5.1;5.1
05/07/2022 00:00;33;29.7;25.2;6;25.4;77.5;1.7;4.6;8
06/07/2022 00:00;28.4;27.2;25.8;5.9;24.9;87.4;.7;2.1;9
07/07/2022 00:00;31.7;29.4;26.4;2.6;24.6;75.5;1;3.6;1.7
08/07/2022 00:00;32.6;29.8;27;3.8;24.9;74.9;1.6;4.6;8.5
09/07/2022 00:00;32;29.1;25.8;5.4;23.7;72.7;1.5;4.1;8.6
10/07/2022 00:00;33.2;29.2;25.8;6.5;23.7;72.1;2.7;5.1;7.9
11/07/2022 00:00;31.6;29.3;26.6;2.6;24.3;74.9;1.2;3.6;9.2
12/07/2022 00:00;32.8;29.7;27.4;.5;25.1;76.5;2.3;5.1;2.4
13/07/2022 00:00;30.4;27.7;26.1;5.5;25.1;85.4;1.9;3.6;4.2
14/07/2022 00:00;32.6;29.4;26.8;2.3;24.8;76.5;3;4.6;.9
