tanggal,tomang,sukapura,pulomas,manggarai,lebak bulus,kemayoran,kelapa gading,ciganjur,istana,manggarai2,sunter kodamar,sunter rawabadak,rorotan,bandara halim,pakubuwono,ragunan,pasar minggu,kapuk,kedoya selatan,pulo gadung,sunter hulu,setiabudi,waduk melati,cideng,karet,teluk gong
3/15/2022,,19.4,0.8,1.2,20.2,24.2,9.6,8.8,0,1,3,21,20.5,1.6,2,1,0,7,0.5,0,0,2,0,0,2,7
3/16/2022,17,0,0.6,19,66.2,29.6,0.8,28.2,15,19,0,2,,6.6,12,69.5,55,2.5,92,3,42,16,24,9,9,6
3/17/2022,0.2,0,0,0,0,0,0,8.4,0,0,1,1,2,0.2,0,0,2,0,,1,0,0,0,1,0,0
3/18/2022,0.6,0,3.2,0.8,99.4,2.4,0.4,30,0,0,0,0,,0.8,39,47.5,34,0,2.1,0,9,0,0,0,0,0
3/19/2022,0.6,0,15.6,0,54.2,0,0,3.2,0,0,0,0,0,0.4,0,1,3,0,0,0,0,0,0,0,0,0
3/20/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
3/22/2022,0,0,0,0,4,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/23/2022,1,0.6,187.4,13,0,9.6,37.6,0,7,6,22,0,,0.4,0,0,0,0,17,22,0,7,12,15,15,0
3/24/2022,26,9,104.8,42,6.8,85,73.6,0,44.5,36,7,0,2,11.3,17,0,0,1,34,31,0,36,42,48,30.5,4
3/25/2022,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3/26/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/27/2022,32,19.6,25.6,44.4,10.4,324.6,60.6,9.8,53,43,15,35,20,14.8,9,8.5,8.5,21,7.1,2,12,29,33,63,39.5,46
3/28/2022,29.2,73.8,37.8,27.8,20.8,28.4,29.8,26.8,19,28,26,41.5,81,16.6,6,30,27,10,15,11,83,13,7,23,8,17
3/29/2022,2.4,0,0,0,0.2,0,0.4,0.6,0,0,0,0,0,0,2,1,,0,0,0,0,0,0,0,0,0
3/30/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2022,6.4,0,0,1.2,55.6,0,0,2.6,0,0,0,0,0,5.4,2,10,4,0,5.2,0,18,2,1,0,2,0
4/2/2022,1,12.2,29.6,0.8,0,27.2,51.6,0,0,2,28,2,12.5,0,0,0,,2,0,12,0,3,8,2.5,10,0
4/3/2022,0.8,0,15.2,26,0,153,0,0,6,10,0,0,0,25.5,6,0,,0,0,25,0,2,1,6.5,4,0
4/4/2022,1.6,6.6,116.6,3.4,5.2,307.2,6.2,1.6,2,2,17,12,14,12.6,5,2.5,3,7,2.9,20,8,2,3,2,2,26
4/5/2022,0,0,0,0,0.8,4.2,0,0,0,0,0,0,0,86.3,0,0,,0,0,0,6,0,0,0,0,0
4/6/2022,131,48,77.4,153.6,22.6,343.2,75,39.4,27,72,61,29,52,36,50,36,39.5,13.5,86,41,70,91,68,39,49,17.5
4/7/2022,0,0.6,15,8.4,4,0,4.8,8,0,0,8,4,0,0.2,2,3,4,0,0,22,4,1,0,0,0,0
4/8/2022,0,61.2,0.8,8.4,0.8,0,0.8,0.8,0,0,0,7.5,35.5,0.6,0,0,1,6.5,0,0,3,0,0,0,0,32
4/9/2022,13.6,2.6,43.4,46.8,19.6,190.8,11.4,3,20,43,29,42,3,0,30,14.5,57.5,0,14,30,0,23,20,19,14,3
